"Rank","NASA","TA","EXT","AGR","CS","NT","OP","AV","EM","Task","H","RS","WH","TWR","BR","NP","SR","AP","AR","DWH","DWR","T","DS"
"Associate Professor",20,50,6,5,10,7,10,25,22,30,14,2,3,40,2,3,1,4,2,5,70,2,3
"Assistant Professor",25,50,5,7,7,7,10,29,18,27,8,1,4,60,3,3,1,4,4,4,50,2,3
"Associate Professor",19,27,8,8,9,3,10,16,7,32,9,2,1,40,2,NA,NA,NA,NA,NA,NA,NA,NA
"Assistant Professor",23,62,5,9,10,8,5,15,28,31,6,1,3,40,3,1,3,4,5,3,40,3,2
"Professor",18,66,10,4,10,10,9,20,28,22,34,1,4,70,2,2,1,4,2,5,90,2,3
"Associate Professor",22,61,6,6,7,9,9,27,29,29,9,2,3,50,2,1,3,3,1,4,60,3,1
"Professor",21,27,5,9,9,3,10,18,13,31,18,2,4,60,2,NA,NA,NA,NA,NA,NA,NA,NA
"Assistant Professor",28,41,8,9,9,8,8,11,21,35,9,2,4,30,3,2,1,2,5,5,90,1,3
"Professor",21,46,3,7,9,6,10,17,16,26,113,1,4,50,2,1,3,2,5,4,70,3,1
"Assistant Professor",18,42,5,5,9,5,7,13,15,28,21,2,3,60,1,3,1,4,2,4,70,2,2
"Professor",17,34,8,5,9,4,8,19,17,31,66,1,3,30,2,2,1,4,2,5,50,3,3
"Professor",20,56,10,6,9,6,9,15,18,30,32,2,4,50,2,1,2,3,2,5,70,3,3
"Assistant Professor",25,36,3,8,6,5,6,25,10,24,28,1,4,60,3,3,2,3,1,5,80,1,3
"Professor",24,37,5,5,9,6,10,19,16,30,17,2,4,50,3,2,1,4,5,4,70,3,2
"Assistant Professor",31,33,9,6,10,6,9,26,11,32,8,2,3,40,2,2,1,4,4,5,80,1,3
"Professor",18,30,7,8,7,6,7,28,20,31,51,2,4,40,2,2,1,3,3,5,60,3,3
"Associate Professor",23,48,9,3,8,9,6,14,30,29,29,1,4,40,3,2,1,2,3,5,40,1,3
"Assistant Professor",24,41,10,10,10,4,6,19,14,30,12,2,4,50,3,3,1,2,3,5,80,1,3
"Associate Professor",19,22,7,9,9,2,10,16,11,30,34,2,2,60,2,1,2,3,4,4,80,3,2
"Professor",15,50,5,7,6,9,7,22,26,25,43,2,2,60,3,NA,NA,NA,NA,NA,NA,NA,NA
"Professor",23,30,4,10,10,3,7,17,14,16,26,2,4,60,3,1,1,4,3,5,20,3,3
"Associate Professor",24,42,7,8,6,4,6,25,12,32,23,2,3,20,3,1,1,4,4,5,60,3,3
"Professor",25,34,9,8,10,3,6,24,18,26,27,2,4,60,2,3,1,3,4,5,90,3,3
"Professor",22,45,2,7,5,4,6,15,20,22,36,1,3,50,2,2,1,2,3,5,80,2,3
"Professor",17,34,10,7,9,4,10,27,10,30,35,2,4,50,2,1,1,3,2,4,50,3,2
"Assistant Professor",29,58,4,7,10,7,6,22,23,29,9,1,4,30,3,2,2,4,5,5,60,2,3
"Professor",14,29,4,9,6,3,7,12,10,31,30,2,3,20,3,1,2,3,4,3,20,3,2
"Associate Professor",26,62,2,9,8,9,10,17,32,29,20,1,4,40,2,1,1,3,4,5,90,3,3
"Associate Professor",31,31,10,8,7,7,6,21,20,32,23,2,4,40,3,3,1,4,2,5,70,2,3
"Associate Professor",15,30,7,10,5,5,7,20,14,29,18,2,3,20,1,1,1,3,3,5,90,1,3
"Assistant Professor",23,52,7,9,9,9,7,24,28,21,169,2,3,40,2,1,2,3,1,4,70,1,3
"Associate Professor",25,47,5,5,9,8,8,17,14,27,25,1,3,60,2,1,1,4,4,5,90,3,3
"Associate Professor",23,30,6,9,8,3,9,18,16,33,10,1,4,60,2,3,1,2,2,4,80,2,2
"Professor",19,26,5,9,6,4,6,9,9,28,40,1,3,40,3,2,1,2,2,5,60,3,3
"Associate Professor",11,29,7,6,9,3,6,14,15,32,28,2,3,50,2,1,3,2,4,4,70,3,2
"Associate Professor",27,48,5,5,6,9,9,20,24,23,31,2,4,40,3,3,1,2,4,5,90,3,3
"Professor",21,46,4,7,10,5,8,19,19,26,39,2,4,70,2,2,2,3,2,3,70,3,2
"Assistant Professor",32,55,5,7,10,8,8,18,27,25,18,2,4,50,4,3,2,3,2,5,80,3,3
"Associate Professor",22,46,3,9,7,6,6,25,17,24,8,1,4,60,3,2,3,3,4,5,20,3,3
"Assistant Professor",22,43,4,10,8,5,8,16,24,28,11,2,4,60,3,1,3,3,4,5,80,1,3
"Professor",17,34,7,7,10,3,10,24,15,32,60,2,4,30,1,3,2,2,2,4,60,3,2
"Associate Professor",32,49,4,5,5,6,7,16,28,27,17,2,4,50,3,2,1,3,2,5,70,2,2
