P_ID,S_G30,S_G50,S_F75,S_FF,S_G50FF,WC,Comment,NA1,NA2,NA3,NA4,NA5,PA1,PA2,IS1,IS2
P_362,0,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0
P_366,0,0,1,0,0,29,1,0,0,0,0,0,0,1,0,1
P_367,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0
P_37,0,0,0,0,0,31,1,0,0,0,0,0,0,0,1,0
P_370,0,0,1,0,0,13,1,0,0,0,1,0,0,0,0,0
P_372,0,0,0,0,0,69,1,0,1,0,0,0,0,1,0,0
P_376,0,0,1,0,0,28,1,0,0,0,0,0,0,0,0,1
P_38,0,0,1,1,0,430,1,1,0,0,0,1,0,0,0,1
P_391,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0
P_394,0,0,1,0,0,158,1,0,0,0,0,0,1,1,1,0
P_398,1,1,1,0,0,16,1,0,0,0,1,0,0,0,0,1
P_402,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0
P_44,1,0,1,0,0,123,1,0,0,1,0,0,0,0,0,1
P_45,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,1
P_46,0,0,1,0,0,15,1,0,0,0,0,0,0,0,0,0
P_48,0,0,1,1,0,11,1,0,0,0,0,0,1,0,0,0
P_5,1,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0
P_50,0,0,0,0,0,44,1,0,0,1,0,0,1,0,0,0
P_56,0,0,0,0,0,59,1,0,0,0,0,0,0,0,0,0
P_57,0,0,1,0,0,13,1,0,0,0,0,0,0,0,0,1
P_6,0,0,0,0,0,128,1,1,0,0,0,1,1,1,0,1
P_60,0,0,0,0,0,30,1,0,0,0,0,0,1,0,0,0
P_64,0,0,0,0,0,32,1,0,0,0,0,1,0,0,0,0
P_65,1,0,0,0,0,17,1,0,0,0,0,0,0,1,0,1
P_67,0,0,1,0,0,75,1,1,0,0,0,0,0,0,1,1
P_69,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,1
P_72,0,0,1,1,0,47,1,1,1,0,0,0,0,1,1,0
P_74,0,0,1,1,0,22,1,0,0,0,1,0,0,0,0,0
P_77,1,1,1,1,1,51,1,0,0,0,1,0,1,1,0,0
P_78,0,0,0,0,0,47,1,1,0,0,0,0,0,0,1,0
P_8,0,0,1,1,0,22,1,0,0,0,0,0,1,0,0,0
P_80,1,1,1,1,1,17,1,0,0,0,1,0,0,0,0,1
P_81,0,0,0,0,0,27,1,0,0,0,0,0,0,0,1,0
P_82,1,1,1,1,1,30,1,0,0,0,0,0,1,0,0,0
P_83,0,0,0,0,0,22,1,1,0,0,0,0,0,0,0,0
P_90,0,0,1,0,0,35,1,1,0,0,0,0,0,0,1,0
P_91,1,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0
P_92,1,1,1,0,0,20,1,0,0,0,0,0,0,0,0,1
P_94,0,0,1,0,0,25,1,1,0,0,0,0,1,0,0,0
P_95,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,1
P_97,0,0,0,0,0,43,1,0,1,1,0,0,0,0,0,0
